,sex,age,freetime,studytime,goout
0,F,18,3,2,4
1,F,17,3,2,3
2,F,15,3,2,2
3,F,15,2,3,2
4,F,16,3,2,2
5,M,16,4,2,2
6,M,16,4,2,4
7,F,17,1,2,4
8,M,15,2,2,2
9,M,15,5,2,1
10,F,15,3,2,3
11,F,15,2,3,2
12,M,15,3,1,3
13,M,15,4,2,3
14,M,15,5,3,2
15,F,16,4,1,4
16,F,16,2,3,3
17,F,16,3,2,2
18,M,17,5,1,5
19,M,16,1,1,3
20,M,15,4,2,1
21,M,15,4,1,2
22,M,16,5,2,1
23,M,16,4,2,4
24,F,15,3,3,2
25,F,16,2,1,2
26,M,15,2,1,2
27,M,15,2,1,4
28,M,16,3,2,3
29,M,16,4,2,5
30,M,15,4,2,2
31,M,15,3,2,1
32,M,15,5,2,2
33,M,15,3,2,2
34,M,16,4,1,3
35,F,15,5,1,1
36,M,15,4,3,3
37,M,16,4,3,3
38,F,15,3,3,2
39,F,15,3,1,1
40,F,16,3,2,3
41,M,15,4,1,3
42,M,15,3,2,3
43,M,15,4,1,1
44,F,16,3,2,3
45,F,15,2,2,2
46,F,16,3,2,5
47,M,16,2,4,2
48,M,15,3,2,3
49,F,15,4,2,4
50,F,16,3,2,3
51,F,15,3,2,3
52,M,15,5,1,5
53,F,15,3,1,4
54,F,15,3,1,4
55,F,16,3,2,4
56,F,15,3,2,2
57,M,15,2,2,2
58,M,15,3,2,2
59,F,16,2,2,3
60,F,16,4,2,4
61,F,16,5,1,5
62,F,16,4,2,3
63,F,16,4,3,4
64,F,15,4,2,4
65,F,16,4,2,3
66,M,15,3,4,3
67,F,16,3,4,3
68,F,15,1,2,3
69,F,15,4,4,2
70,M,16,3,4,2
71,M,15,3,4,3
72,F,15,3,2,4
73,M,16,3,1,2
74,F,16,3,2,3
75,M,15,3,2,3
76,M,15,4,4,3
77,F,16,2,4,3
78,M,17,5,1,1
79,F,16,4,2,3
80,M,15,2,1,2
81,M,15,3,3,2
82,F,15,4,2,4
83,M,15,3,2,3
84,F,15,3,2,2
85,F,15,4,2,4
86,F,16,3,2,4
87,F,15,3,3,3
88,M,16,4,2,2
89,M,16,1,2,3
90,F,16,3,3,3
91,F,15,5,1,5
92,F,16,3,2,3
93,F,16,3,2,3
94,M,15,3,4,4
95,F,15,1,4,2
96,M,16,3,1,3
97,F,16,3,2,5
98,F,16,3,1,4
99,F,16,3,3,5
100,M,16,5,1,5
101,M,16,4,3,3
102,M,15,3,1,3
103,F,15,3,2,5
104,M,15,4,2,4
105,F,15,3,4,3
106,F,15,1,4,2
107,M,16,3,3,3
108,M,15,3,4,5
109,F,16,4,3,5
110,M,15,5,1,3
111,F,16,1,3,2
112,F,16,1,2,2
113,M,15,5,1,2
114,M,15,4,2,2
115,M,16,4,2,4
116,M,15,4,2,3
117,M,16,4,1,2
118,M,17,2,2,4
119,M,15,4,1,3
120,F,15,2,2,3
121,M,15,5,4,4
122,F,16,2,2,2
123,M,16,4,1,4
124,F,16,4,2,4
125,M,15,5,1,5
126,F,15,3,2,2
127,F,19,4,2,2
128,M,16,5,1,5
129,M,16,2,3,3
130,F,15,2,3,2
131,F,18,4,2,5
132,F,17,2,1,2
133,F,15,3,1,3
134,F,17,4,1,4
135,F,16,2,1,1
136,M,16,2,1,1
137,F,16,3,1,4
138,M,15,3,2,3
139,F,15,3,3,3
140,M,17,4,2,5
141,F,16,1,2,3
142,M,18,3,1,4
143,F,18,3,3,3
144,F,16,3,1,3
145,F,16,3,1,2
146,M,16,4,2,4
147,F,15,3,1,2
148,F,15,5,1,5
149,M,15,2,4,2
150,F,15,3,2,2
151,M,16,3,3,3
152,M,16,3,1,3
153,F,15,2,3,2
154,F,16,4,1,4
155,M,17,4,1,5
156,F,15,4,2,2
157,F,15,4,1,2
158,F,15,3,2,2
159,F,15,3,2,2
160,F,15,3,2,4
161,M,16,3,1,2
162,M,15,5,1,5
163,M,18,3,1,5
164,M,16,4,1,4
165,F,15,2,3,1
166,M,19,5,1,4
167,F,17,2,1,1
168,M,15,4,2,4
169,M,17,2,1,2
